log_id,date,machine_id,maintenance_type,technician_notes,downtime_hours,parts_replaced,cost_idr
ML-0031,2025-12-21,M-15,Preventive,"Lubrikasi komponen, cek belt",3.1,Motor,1825237
ML-0032,2025-08-02,M-09,Preventive,"Ganti filter udara, cek bearing",6.3,Bearing,1062417
ML-0033,2025-09-12,M-17,Preventive,"Inspeksi rutin, ganti oli",2.2,Pump,1780744
ML-0034,2025-09-06,M-18,Corrective,"Kebocoran pressure line, ganti seal",20.5,Bearing,9443068
ML-0035,2025-10-04,M-13,Corrective,"Belt putus, ganti belt dan pulley",17.5,Belt,10523104
ML-0036,2025-10-12,M-07,Emergency,"Mesin berhenti total, kerusakan motor utama",36.8,Sensor,36154799
ML-0037,2025-07-08,M-07,Preventive,"Inspeksi rutin, ganti oli",7.3,Valve,2353464
ML-0038,2025-09-15,M-03,Corrective,"Belt putus, ganti belt dan pulley",9.7,Filter,4323408
ML-0039,2025-09-24,M-07,Corrective,"Motor overheat, ganti komponen pendingin",23.3,Belt,6342095
ML-0040,2025-09-03,M-02,Preventive,"Cek electrical connection, test safety switch",3.5,Pump,1852032
ML-0041,2025-12-19,M-17,Corrective,"Kebocoran pressure line, ganti seal",19.9,Valve,4867028
ML-0042,2025-07-13,M-08,Preventive,"Lubrikasi komponen, cek belt",4.2,Belt,2867405
ML-0043,2025-08-04,M-19,Corrective,"Motor overheat, ganti komponen pendingin",16.9,N/A,4535075
ML-0044,2025-07-07,M-16,Preventive,"Inspeksi rutin, ganti oli",4.0,Seal,2062886
ML-0045,2025-09-17,M-11,Preventive,"Ganti filter udara, cek bearing",7.5,Valve,1733224
ML-0046,2025-10-04,M-13,Preventive,"Inspeksi rutin, ganti oli",4.0,Bearing,2219434
ML-0047,2025-12-21,M-13,Corrective,"Kebocoran pressure line, ganti seal",23.1,Sensor,7173439
ML-0048,2025-09-17,M-14,Corrective,"Kebocoran pressure line, ganti seal",17.2,Filter,12176095
ML-0049,2025-11-03,M-09,Preventive,"Kalibrasi sensor, bersihkan filter",3.6,Filter,2652226
ML-0050,2025-12-11,M-10,Preventive,"Cek electrical connection, test safety switch",7.9,Pump,1830426
ML-0051,2025-12-02,M-13,Preventive,"Ganti filter udara, cek bearing",5.7,Sensor,2246762
ML-0052,2025-11-16,M-15,Emergency,Kebocoran besar pada hydraulic system,50.7,Valve,34501355
ML-0053,2025-11-10,M-04,Corrective,"Motor overheat, ganti komponen pendingin",16.2,N/A,13257116
ML-0054,2025-07-13,M-14,Corrective,"Kebocoran pressure line, ganti seal",16.4,Belt,12887829
ML-0055,2025-09-17,M-02,Emergency,Short circuit pada panel kontrol,18.9,Belt,21218618
ML-0056,2025-11-19,M-20,Emergency,Kegagalan sistem pendingin kritis,35.9,N/A,39394149
ML-0057,2025-11-22,M-13,Preventive,"Kalibrasi sensor, bersihkan filter",4.9,Sensor,2273935
ML-0058,2025-11-07,M-02,Emergency,Short circuit pada panel kontrol,59.6,N/A,17616249
ML-0059,2025-08-27,M-11,Preventive,"Inspeksi rutin, ganti oli",4.6,N/A,1837680
ML-0060,2025-11-08,M-20,Preventive,"Kalibrasi sensor, bersihkan filter",7.3,Motor,2741035
ML-0061,2025-12-14,M-05,Corrective,"Bearing aus, perlu penggantian",20.0,Valve,6609750
ML-0062,2025-09-16,M-17,Emergency,Short circuit pada panel kontrol,28.5,Bearing,34781250
ML-0063,2025-10-28,M-05,Preventive,"Inspeksi rutin, ganti oli",6.9,Valve,2754910
ML-0064,2025-07-01,M-09,Corrective,"Bearing aus, perlu penggantian",11.8,Pump,13530907
ML-0065,2025-07-09,M-19,Preventive,"Kalibrasi sensor, bersihkan filter",8.0,Belt,1081334
ML-0066,2025-11-07,M-13,Preventive,"Inspeksi rutin, ganti oli",4.9,Bearing,2207522
ML-0067,2025-11-29,M-15,Preventive,"Lubrikasi komponen, cek belt",2.2,Pump,2747828
ML-0068,2025-11-20,M-15,Emergency,Kegagalan sistem pendingin kritis,48.4,Sensor,27483644
ML-0069,2025-09-19,M-20,Emergency,Short circuit pada panel kontrol,34.6,Bearing,28638285
ML-0070,2025-12-04,M-19,Preventive,"Inspeksi rutin, ganti oli",5.5,Sensor,1511521
ML-0071,2025-10-05,M-04,Corrective,"Kebocoran pressure line, ganti seal",12.1,Motor,6760115
ML-0072,2025-12-04,M-16,Emergency,Short circuit pada panel kontrol,25.3,Filter,11263022
ML-0073,2025-10-20,M-10,Corrective,"Bearing aus, perlu penggantian",14.7,Motor,7093163
ML-0074,2025-11-18,M-15,Corrective,"Belt putus, ganti belt dan pulley",15.7,Motor,10420961
ML-0075,2025-12-17,M-11,Preventive,"Inspeksi rutin, ganti oli",5.5,Bearing,1671721
ML-0076,2025-09-20,M-12,Corrective,"Kebocoran pressure line, ganti seal",17.5,Valve,7823250
ML-0077,2025-07-08,M-16,Preventive,"Cek electrical connection, test safety switch",7.7,Motor,679717
ML-0078,2025-09-19,M-05,Preventive,"Inspeksi rutin, ganti oli",6.2,Seal,1498720
ML-0079,2025-10-15,M-07,Preventive,"Inspeksi rutin, ganti oli",5.2,Bearing,1159601
ML-0080,2025-08-11,M-18,Preventive,"Cek electrical connection, test safety switch",2.5,Motor,1616847
ML-0081,2025-11-14,M-04,Preventive,"Cek electrical connection, test safety switch",3.3,Filter,1171025
ML-0082,2025-07-21,M-01,Preventive,"Kalibrasi sensor, bersihkan filter",2.1,Sensor,2749730
ML-0083,2025-11-19,M-20,Preventive,"Inspeksi rutin, ganti oli",5.0,Bearing,2760912
ML-0084,2025-07-11,M-01,Preventive,"Kalibrasi sensor, bersihkan filter",5.2,Sensor,1252610
ML-0085,2025-09-08,M-20,Preventive,"Ganti filter udara, cek bearing",2.9,Valve,1027846
ML-0086,2025-07-24,M-18,Preventive,"Ganti filter udara, cek bearing",5.9,Filter,2133397
ML-0087,2025-10-17,M-07,Emergency,Short circuit pada panel kontrol,45.9,Seal,21005868
ML-0088,2025-07-08,M-15,Corrective,"Sensor rusak, ganti sensor baru",8.5,Motor,8499169
ML-0089,2025-11-20,M-19,Corrective,"Sensor rusak, ganti sensor baru",8.5,N/A,7983686
ML-0090,2025-12-16,M-09,Corrective,"Bearing aus, perlu penggantian",23.7,N/A,14623207
ML-0091,2025-09-14,M-11,Preventive,"Ganti filter udara, cek bearing",5.0,Belt,2513088
ML-0092,2025-09-16,M-19,Emergency,Short circuit pada panel kontrol,68.1,Pump,35487645
ML-0093,2025-08-06,M-20,Preventive,"Cek electrical connection, test safety switch",4.3,Seal,2718360
ML-0094,2025-12-24,M-20,Preventive,"Cek electrical connection, test safety switch",7.8,N/A,2299360
ML-0095,2025-07-12,M-01,Preventive,"Ganti filter udara, cek bearing",4.3,Bearing,904478
ML-0096,2025-08-05,M-01,Preventive,"Ganti filter udara, cek bearing",5.5,Seal,2496700
ML-0097,2025-09-04,M-06,Preventive,"Lubrikasi komponen, cek belt",4.4,Motor,2649364
ML-0098,2025-11-18,M-12,Preventive,"Lubrikasi komponen, cek belt",2.5,Motor,2353402
ML-0099,2025-12-17,M-02,Preventive,"Ganti filter udara, cek bearing",2.3,Seal,2614613
ML-0100,2025-07-30,M-03,Emergency,Short circuit pada panel kontrol,63.9,Seal,16092730
ML-0101,2025-09-19,M-13,Preventive,"Lubrikasi komponen, cek belt",5.7,Valve,2181613
ML-0102,2025-09-16,M-11,Preventive,"Cek electrical connection, test safety switch",3.6,Bearing,2463514
ML-0103,2025-07-09,M-11,Preventive,"Cek electrical connection, test safety switch",4.9,Motor,1625448
ML-0104,2025-09-14,M-08,Preventive,"Inspeksi rutin, ganti oli",7.0,Valve,2746025
ML-0105,2025-07-31,M-01,Corrective,"Bearing aus, perlu penggantian",20.3,Seal,4531286
ML-0106,2025-11-02,M-18,Preventive,"Cek electrical connection, test safety switch",4.7,Seal,2389348
ML-0107,2025-12-13,M-14,Corrective,"Belt putus, ganti belt dan pulley",19.9,Belt,13404356
ML-0108,2025-11-26,M-02,Corrective,"Sensor rusak, ganti sensor baru",23.0,Motor,5269657
ML-0109,2025-10-30,M-04,Corrective,"Motor overheat, ganti komponen pendingin",16.3,Belt,13312938
ML-0110,2025-08-12,M-10,Corrective,"Sensor rusak, ganti sensor baru",19.9,Pump,3664678
ML-0111,2025-09-13,M-15,Preventive,"Ganti filter udara, cek bearing",2.4,N/A,2849796
ML-0112,2025-07-02,M-07,Preventive,"Ganti filter udara, cek bearing",6.2,Motor,2016071
ML-0113,2025-08-09,M-10,Preventive,"Inspeksi rutin, ganti oli",3.4,Sensor,2926470
ML-0114,2025-11-21,M-17,Corrective,"Bearing aus, perlu penggantian",8.2,Pump,8068998
ML-0115,2025-10-28,M-13,Preventive,"Lubrikasi komponen, cek belt",3.2,Motor,1850666
ML-0116,2025-09-10,M-03,Corrective,"Belt putus, ganti belt dan pulley",23.2,Seal,8945841
ML-0117,2025-09-09,M-05,Preventive,"Ganti filter udara, cek bearing",2.4,Belt,886120
ML-0118,2025-07-24,M-20,Preventive,"Cek electrical connection, test safety switch",4.2,Motor,1690838
ML-0119,2025-08-02,M-01,Emergency,Kegagalan sistem pendingin kritis,21.6,Motor,49643133
ML-0120,2025-11-17,M-05,Preventive,"Inspeksi rutin, ganti oli",2.5,Bearing,2024758
ML-0121,2025-11-09,M-11,Preventive,"Inspeksi rutin, ganti oli",7.7,Motor,1354058
ML-0122,2025-12-28,M-01,Preventive,"Inspeksi rutin, ganti oli",5.8,Belt,2120289
ML-0123,2025-08-23,M-03,Corrective,"Sensor rusak, ganti sensor baru",21.5,Valve,6938943
ML-0124,2025-12-17,M-07,Corrective,"Motor overheat, ganti komponen pendingin",12.8,Valve,4602907
ML-0125,2025-09-20,M-01,Preventive,"Inspeksi rutin, ganti oli",3.2,Belt,2801234
ML-0126,2025-09-25,M-03,Preventive,"Inspeksi rutin, ganti oli",6.7,Sensor,1532342
ML-0127,2025-08-24,M-11,Preventive,"Ganti filter udara, cek bearing",3.2,Filter,1434500
ML-0128,2025-07-08,M-15,Preventive,"Kalibrasi sensor, bersihkan filter",7.0,Valve,2065683
ML-0129,2025-12-26,M-18,Emergency,Kegagalan sistem pendingin kritis,48.2,Seal,41598791
ML-0130,2025-09-08,M-08,Corrective,"Belt putus, ganti belt dan pulley",13.4,Motor,14172581
ML-0131,2025-09-09,M-16,Preventive,"Inspeksi rutin, ganti oli",4.8,Bearing,2046027
ML-0132,2025-10-03,M-13,Emergency,Kegagalan sistem pendingin kritis,69.3,Sensor,29872903
ML-0133,2025-10-12,M-02,Preventive,"Kalibrasi sensor, bersihkan filter",5.7,Belt,2435633
ML-0134,2025-07-19,M-19,Preventive,"Ganti filter udara, cek bearing",7.7,Filter,873752
ML-0135,2025-07-10,M-05,Corrective,"Bearing aus, perlu penggantian",18.7,Motor,7630860
ML-0136,2025-10-04,M-16,Corrective,"Bearing aus, perlu penggantian",8.7,N/A,11879401
ML-0137,2025-08-26,M-07,Corrective,"Motor overheat, ganti komponen pendingin",8.6,Valve,12958397
ML-0138,2025-12-15,M-08,Preventive,"Kalibrasi sensor, bersihkan filter",6.9,Motor,2010270
ML-0139,2025-07-14,M-03,Corrective,"Motor overheat, ganti komponen pendingin",20.3,Bearing,11221828
ML-0140,2025-07-27,M-08,Preventive,"Ganti filter udara, cek bearing",6.7,Motor,2351164
ML-0141,2025-12-08,M-06,Corrective,"Belt putus, ganti belt dan pulley",18.2,Seal,11601074
ML-0142,2025-07-01,M-14,Preventive,"Ganti filter udara, cek bearing",6.3,Seal,2009667
ML-0143,2025-12-26,M-20,Preventive,"Cek electrical connection, test safety switch",5.2,Motor,2219930
ML-0144,2025-08-15,M-07,Corrective,"Sensor rusak, ganti sensor baru",8.2,Seal,4851062
ML-0145,2025-11-28,M-03,Preventive,"Inspeksi rutin, ganti oli",7.0,Motor,2888098
ML-0146,2025-10-15,M-06,Emergency,Kegagalan sistem pendingin kritis,20.7,N/A,11928444
ML-0147,2025-11-26,M-10,Preventive,"Ganti filter udara, cek bearing",7.5,Pump,1649911
ML-0148,2025-10-17,M-10,Preventive,"Lubrikasi komponen, cek belt",2.7,Filter,688383
ML-0149,2025-11-28,M-07,Preventive,"Ganti filter udara, cek bearing",7.9,Belt,2369697
ML-0150,2025-10-14,M-05,Corrective,"Belt putus, ganti belt dan pulley",8.7,Sensor,13035295
ML-0151,2025-11-13,M-03,Corrective,"Bearing aus, perlu penggantian",13.7,Filter,14935093
ML-0152,2025-07-23,M-10,Corrective,"Kebocoran pressure line, ganti seal",19.1,Filter,11519867
ML-0153,2025-07-07,M-04,Emergency,Kebocoran besar pada hydraulic system,62.8,Motor,25323986
ML-0154,2025-11-12,M-01,Corrective,"Kebocoran pressure line, ganti seal",19.0,Seal,6729327
ML-0155,2025-10-19,M-15,Preventive,"Cek electrical connection, test safety switch",7.0,Valve,1126714
ML-0156,2025-12-18,M-05,Corrective,"Kebocoran pressure line, ganti seal",15.3,Seal,6301685
ML-0157,2025-08-25,M-18,Preventive,"Lubrikasi komponen, cek belt",5.1,Valve,1240555
ML-0158,2025-10-26,M-05,Preventive,"Ganti filter udara, cek bearing",6.3,Motor,859566
ML-0159,2025-09-21,M-15,Corrective,"Motor overheat, ganti komponen pendingin",16.7,Seal,3451821
ML-0160,2025-09-03,M-20,Preventive,"Inspeksi rutin, ganti oli",6.4,Sensor,893619
ML-0161,2025-07-09,M-15,Corrective,"Belt putus, ganti belt dan pulley",14.6,Seal,13120879
ML-0162,2025-08-11,M-13,Preventive,"Ganti filter udara, cek bearing",3.0,N/A,1746362
ML-0163,2025-11-28,M-11,Preventive,"Ganti filter udara, cek bearing",6.8,N/A,749926
ML-0164,2025-10-04,M-15,Corrective,"Kebocoran pressure line, ganti seal",11.0,Seal,6330766
ML-0165,2025-09-23,M-13,Emergency,Kebocoran besar pada hydraulic system,30.4,Valve,36544738
ML-0166,2025-07-25,M-07,Emergency,"Mesin berhenti total, kerusakan motor utama",61.5,Sensor,35528270
ML-0167,2025-09-23,M-08,Preventive,"Kalibrasi sensor, bersihkan filter",2.6,Sensor,1831981
ML-0168,2025-11-18,M-09,Emergency,Short circuit pada panel kontrol,70.7,N/A,23457407
ML-0169,2025-12-27,M-01,Corrective,"Bearing aus, perlu penggantian",10.4,Valve,13725389
ML-0170,2025-12-11,M-05,Preventive,"Kalibrasi sensor, bersihkan filter",3.7,Belt,1292450
ML-0171,2025-12-10,M-17,Emergency,Kegagalan sistem pendingin kritis,20.2,Belt,35426026
ML-0172,2025-09-15,M-10,Preventive,"Inspeksi rutin, ganti oli",4.1,Pump,791365
ML-0173,2025-11-14,M-12,Corrective,"Sensor rusak, ganti sensor baru",20.4,Motor,5195576
ML-0174,2025-11-26,M-16,Preventive,"Inspeksi rutin, ganti oli",5.4,Valve,1353838
ML-0175,2025-12-16,M-19,Corrective,"Kebocoran pressure line, ganti seal",20.9,Bearing,4441241
ML-0176,2025-12-04,M-20,Corrective,"Sensor rusak, ganti sensor baru",21.8,Seal,10085663
ML-0177,2025-10-18,M-05,Corrective,"Motor overheat, ganti komponen pendingin",9.7,Seal,14348189
ML-0178,2025-12-21,M-18,Corrective,"Motor overheat, ganti komponen pendingin",18.1,Motor,11444924
ML-0179,2025-07-17,M-13,Corrective,"Kebocoran pressure line, ganti seal",21.1,Valve,6395483
ML-0180,2025-09-08,M-04,Corrective,"Sensor rusak, ganti sensor baru",15.0,Filter,12363536
ML-0181,2025-11-23,M-01,Preventive,"Inspeksi rutin, ganti oli",3.2,Valve,728959
ML-0182,2025-09-01,M-19,Emergency,Kegagalan sistem pendingin kritis,64.1,Filter,22677825
ML-0183,2025-12-09,M-18,Corrective,"Belt putus, ganti belt dan pulley",11.7,Filter,3764098
ML-0184,2025-08-04,M-09,Emergency,Short circuit pada panel kontrol,60.0,N/A,41771994
ML-0185,2025-08-01,M-20,Corrective,"Motor overheat, ganti komponen pendingin",21.4,Valve,12371683
ML-0186,2025-12-09,M-02,Preventive,"Kalibrasi sensor, bersihkan filter",3.7,Sensor,1726249
ML-0187,2025-07-16,M-02,Preventive,"Ganti filter udara, cek bearing",7.3,Filter,2973718
ML-0188,2025-12-02,M-03,Corrective,"Kebocoran pressure line, ganti seal",8.6,Seal,14248860
ML-0189,2025-08-16,M-01,Corrective,"Kebocoran pressure line, ganti seal",15.8,Motor,3385783
ML-0190,2025-07-21,M-01,Preventive,"Lubrikasi komponen, cek belt",6.4,Filter,2815382
ML-0191,2025-08-12,M-05,Corrective,"Motor overheat, ganti komponen pendingin",22.4,N/A,5636270
ML-0192,2025-09-23,M-13,Preventive,"Lubrikasi komponen, cek belt",5.3,Pump,2958721
ML-0193,2025-07-28,M-17,Preventive,"Ganti filter udara, cek bearing",4.7,Pump,2749001
ML-0194,2025-07-08,M-03,Preventive,"Lubrikasi komponen, cek belt",5.1,Bearing,2115538
ML-0195,2025-07-06,M-17,Emergency,Kebocoran besar pada hydraulic system,38.7,Valve,12689185
ML-0196,2025-10-19,M-09,Corrective,"Kebocoran pressure line, ganti seal",12.7,Valve,8740395
ML-0197,2025-09-11,M-02,Corrective,"Kebocoran pressure line, ganti seal",16.5,N/A,4303491
ML-0198,2025-10-31,M-12,Emergency,"Mesin berhenti total, kerusakan motor utama",36.8,Valve,14073728
ML-0199,2025-10-18,M-16,Preventive,"Ganti filter udara, cek bearing",6.3,Sensor,1405099
ML-0200,2025-10-04,M-03,Preventive,"Cek electrical connection, test safety switch",2.0,Sensor,926675
ML-0201,2025-08-28,M-01,Corrective,"Belt putus, ganti belt dan pulley",18.9,Seal,7085779
ML-0202,2025-07-03,M-09,Preventive,"Lubrikasi komponen, cek belt",2.2,Sensor,2187815
ML-0203,2025-10-16,M-19,Preventive,"Cek electrical connection, test safety switch",3.9,Belt,2872253
ML-0204,2025-07-21,M-07,Emergency,"Mesin berhenti total, kerusakan motor utama",48.5,Valve,25484224
ML-0205,2025-10-10,M-01,Emergency,Kegagalan sistem pendingin kritis,38.0,Bearing,13678071
ML-0206,2025-07-19,M-20,Preventive,"Cek electrical connection, test safety switch",2.4,Bearing,1337237
ML-0207,2025-12-28,M-10,Corrective,"Motor overheat, ganti komponen pendingin",22.3,Belt,9898468
ML-0208,2025-10-06,M-20,Preventive,"Inspeksi rutin, ganti oli",4.1,Filter,2755799
ML-0209,2025-10-24,M-07,Corrective,"Kebocoran pressure line, ganti seal",17.7,Pump,13025820
ML-0210,2025-09-24,M-12,Preventive,"Lubrikasi komponen, cek belt",6.0,Motor,509804
ML-0211,2025-11-29,M-11,Preventive,"Ganti filter udara, cek bearing",6.9,Seal,781947
ML-0212,2025-10-14,M-07,Preventive,"Cek electrical connection, test safety switch",5.3,Valve,2890560
ML-0213,2025-10-03,M-06,Corrective,"Sensor rusak, ganti sensor baru",14.5,Bearing,8183162
ML-0214,2025-07-26,M-11,Preventive,"Kalibrasi sensor, bersihkan filter",5.2,N/A,654572
ML-0215,2025-09-15,M-15,Preventive,"Cek electrical connection, test safety switch",5.7,Sensor,2446822
ML-0216,2025-08-28,M-02,Emergency,"Mesin berhenti total, kerusakan motor utama",32.1,Motor,16044880
ML-0217,2025-08-22,M-12,Preventive,"Cek electrical connection, test safety switch",6.4,Seal,2477154
ML-0218,2025-10-13,M-12,Preventive,"Cek electrical connection, test safety switch",4.1,Filter,1530101
ML-0219,2025-07-21,M-19,Preventive,"Kalibrasi sensor, bersihkan filter",6.4,Belt,884012
ML-0220,2025-08-22,M-02,Preventive,"Cek electrical connection, test safety switch",2.8,Valve,1726686
ML-0221,2025-08-17,M-14,Emergency,"Mesin berhenti total, kerusakan motor utama",57.1,Valve,46033391
ML-0222,2025-11-26,M-01,Emergency,Short circuit pada panel kontrol,38.9,Filter,21083914
ML-0223,2025-07-02,M-11,Preventive,"Inspeksi rutin, ganti oli",6.7,Motor,1023296
ML-0224,2025-09-13,M-10,Emergency,Kebocoran besar pada hydraulic system,41.0,Bearing,22102192
ML-0225,2025-11-17,M-18,Preventive,"Inspeksi rutin, ganti oli",4.5,Motor,528717
ML-0226,2025-07-01,M-13,Preventive,"Kalibrasi sensor, bersihkan filter",2.0,N/A,2571815
ML-0227,2025-10-20,M-11,Preventive,"Kalibrasi sensor, bersihkan filter",2.3,Belt,2993837
ML-0228,2025-12-10,M-04,Preventive,"Lubrikasi komponen, cek belt",6.5,Sensor,717829
ML-0229,2025-12-11,M-16,Preventive,"Ganti filter udara, cek bearing",6.2,Valve,895742
ML-0230,2025-11-10,M-01,Emergency,Kebocoran besar pada hydraulic system,21.7,Belt,13696714
ML-0231,2025-11-01,M-10,Preventive,"Kalibrasi sensor, bersihkan filter",6.1,Seal,1689725
ML-0232,2025-11-22,M-10,Preventive,"Lubrikasi komponen, cek belt",2.9,Valve,2367004
ML-0233,2025-09-12,M-18,Preventive,"Cek electrical connection, test safety switch",2.9,Seal,2438288
ML-0234,2025-08-26,M-12,Preventive,"Lubrikasi komponen, cek belt",4.4,Bearing,2772195
ML-0235,2025-09-26,M-09,Corrective,"Belt putus, ganti belt dan pulley",23.5,Valve,9151931
ML-0236,2025-09-25,M-20,Preventive,"Lubrikasi komponen, cek belt",7.1,N/A,2843947
ML-0237,2025-11-18,M-11,Preventive,"Ganti filter udara, cek bearing",5.1,Bearing,1761894
ML-0238,2025-10-04,M-08,Emergency,"Mesin berhenti total, kerusakan motor utama",19.2,Valve,22494352
ML-0239,2025-09-24,M-03,Preventive,"Ganti filter udara, cek bearing",3.1,Pump,2069707
ML-0240,2025-08-18,M-18,Emergency,Kebocoran besar pada hydraulic system,24.5,Valve,22463475
ML-0241,2025-11-17,M-03,Corrective,"Sensor rusak, ganti sensor baru",20.5,Motor,4662574
ML-0242,2025-09-25,M-17,Preventive,"Cek electrical connection, test safety switch",6.9,Filter,1038471
ML-0243,2025-10-02,M-09,Corrective,"Motor overheat, ganti komponen pendingin",23.6,Sensor,11164352
ML-0244,2025-08-03,M-12,Preventive,"Lubrikasi komponen, cek belt",2.5,Seal,1589150
ML-0245,2025-08-11,M-10,Preventive,"Inspeksi rutin, ganti oli",6.9,Sensor,2892030
ML-0246,2025-10-27,M-13,Corrective,"Bearing aus, perlu penggantian",22.1,Pump,14095873
ML-0247,2025-10-25,M-15,Preventive,"Ganti filter udara, cek bearing",6.1,Filter,2981447
ML-0248,2025-12-17,M-12,Preventive,"Kalibrasi sensor, bersihkan filter",6.6,Belt,1865618
ML-0249,2025-11-06,M-08,Preventive,"Cek electrical connection, test safety switch",2.3,Seal,2123446
ML-0250,2025-08-30,M-06,Emergency,"Mesin berhenti total, kerusakan motor utama",30.2,Valve,32552389
ML-0251,2025-09-16,M-15,Emergency,Kegagalan sistem pendingin kritis,68.0,Valve,32145668
ML-0252,2025-10-26,M-12,Corrective,"Bearing aus, perlu penggantian",12.1,Filter,11854996
ML-0253,2025-09-18,M-01,Corrective,"Kebocoran pressure line, ganti seal",10.3,Sensor,13642161
ML-0254,2025-11-02,M-20,Corrective,"Motor overheat, ganti komponen pendingin",14.4,Sensor,5214765
ML-0255,2025-08-11,M-20,Preventive,"Inspeksi rutin, ganti oli",2.4,Filter,1015278
ML-0256,2025-11-13,M-19,Preventive,"Ganti filter udara, cek bearing",7.2,Seal,674070
ML-0257,2025-10-01,M-18,Corrective,"Motor overheat, ganti komponen pendingin",12.4,Valve,13426829
ML-0258,2025-08-27,M-02,Preventive,"Inspeksi rutin, ganti oli",2.8,Valve,1901576
ML-0259,2025-11-01,M-05,Emergency,Short circuit pada panel kontrol,34.0,N/A,24539735
ML-0260,2025-09-18,M-11,Corrective,"Bearing aus, perlu penggantian",8.4,Seal,5941358
ML-0261,2025-12-17,M-10,Corrective,"Bearing aus, perlu penggantian",11.1,Valve,14115234
ML-0262,2025-10-17,M-05,Preventive,"Cek electrical connection, test safety switch",4.1,Filter,2346936
ML-0263,2025-08-27,M-18,Preventive,"Kalibrasi sensor, bersihkan filter",7.2,Belt,644106
ML-0264,2025-09-05,M-20,Emergency,Kebocoran besar pada hydraulic system,65.8,N/A,21345556
ML-0265,2025-08-06,M-11,Preventive,"Kalibrasi sensor, bersihkan filter",2.2,Bearing,2039449
ML-0266,2025-07-25,M-02,Corrective,"Motor overheat, ganti komponen pendingin",12.8,Belt,7067223
ML-0267,2025-10-15,M-10,Preventive,"Inspeksi rutin, ganti oli",3.1,Bearing,2206839
ML-0268,2025-07-21,M-17,Emergency,Kebocoran besar pada hydraulic system,23.2,Filter,37677453
ML-0269,2025-07-08,M-10,Corrective,"Motor overheat, ganti komponen pendingin",15.1,Pump,4855272
ML-0270,2025-10-15,M-08,Preventive,"Cek electrical connection, test safety switch",3.3,Bearing,2241664
